CIPCODE,CIPDESC,CIPDefinition
100,Agriculture  General.,A program that focuses on the general principles and practice of agricultural research and production and that may prepare individuals to apply this knowledge to the solution of practical agricultural problems.  Includes instruction in basic animal  plant  and soil science; animal husbandry and plant cultivation; soil conservation; and agricultural operations such as farming  ranching  and agricultural business.
109,Animal Sciences.,A general program that focuses on the scientific principles that underlie the breeding and husbandry of agricultural animals  and the production  processing  and distribution of agricultural animal products.  Includes instruction in the animal sciences  animal husbandry and production  and agricultural and food products processing.
110,Food Science and Technology.,A program that focuses on the application of biological  chemical  and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption  and the storage of such products.  Includes instruction in applicable aspects of the agricultural sciences  human physiology and nutrition  food chemistry  agricultural products processing  food additives  food preparation and packaging  food storage and shipment  and related aspects of human health and safety including toxicology and pathology.
111,Plant Sciences.,A general program that focuses on the scientific principles that underlie the breeding  cultivation  and production of agricultural plants  and the production  processing  and distribution of agricultural plant products.  Includes instruction in the plant sciences  crop cultivation and production  and agricultural and food products processing.
199,Agricultural/Animal/Plant/Veterinary Science and Related Fields  Other.,Any instructional program in agricultural  animal  plant  or veterinary science and related fields not listed above.
305,Forestry.,A program that generally prepares individuals to manage and develop forest areas for economic  recreational  and ecological purposes.  Includes instruction in forest-related sciences  mapping  statistics  harvesting and production technology  natural resources management and economics  wildlife sciences  administration  and public relations.
403,City/Urban  Community  and Regional Planning.,A program that prepares individuals to apply principles of planning  analysis  and architecture to the development and improvement of urban areas and surrounding regions  and to function as professional planners.  Includes instruction in principles of architecture; master plan development; service  communications  and transportation systems design; community and commercial development; zoning; land use planning; applied economics; policy analysis; applicable laws and regulations; and professional responsibilities and managerial duties.
901,Communication  General.,A program that focuses on the comprehensive study of communication  and that spans the study of  mass communication/media studies  old and new media technologies  social and political applications  and speech communication and rhetoric. Includes instruction in interpersonal  group  organizational  and intercultural communication; theories of communication; critical thinking  argumentation  and persuasion; written communication; printed  electronic  and digital media; rhetorical tradition and criticism; media  society  and culture; consequences and effects of mass media; media social science and criticism; and quantitative and qualitative methods of inquiry.
1002,Audiovisual Communications Technologies/Technicians.,A program that prepares individuals to apply technical knowledge and skills to the operation and maintenance of camera and lighting equipment and the production of finished still  video  and film products under the supervision of photographers  directors  and editors.  Includes instruction in equipment setup and maintenance; lighting; power supplies; studio and film set tasks such as camera operator  grip  and best boy; plate and negative handling and development; laboratory procedures; and digital software applications.
1101,Computer and Information Sciences  General.,A general program that focuses on computing  computer science  and information science and systems. Such programs are undifferentiated as to title and content and are not to be confused with specific programs in computer science  information science  or related support services.
