DapipId,UNITID,LocationName,ParentName,ParentDapipId,LocationType,Address,GeneralPhone,AdminName,AdminPhone,AdminEmail,Fax
100025,100654,Alabama A & M University,-,-,Institution,4900 Meridian Street; Normal; AL 35762,2563725000,Andrew Hugine,2563725230,andrew.hugine@aamu.edu,
100034,100663,University of Alabama at Birmingham,-,-,Institution,1720 2nd Avenue South; Birmingham; AL 35233,2059344011,Dr. Ray L. Watts,2059344636,rlawtts@uab.edu,
100034002,100663,UAB School of Optometry,University of Alabama at Birmingham,100034,Additional Location,1716 University Boulevard; Birmingham; AL 35294,,,,,
100034003,100663,UAB School of Dentistry,University of Alabama at Birmingham,100034,Additional Location,Old Hillman Bldg 1919 7th Avenue South; Birmingham; AL 35233,,,,,
100043,100690,Amridge University,-,-,Institution,1200 Taylor Rd; Montgomery; AL 36117-3553,3343873877- ext. 100,Rex Turner Jr.,8003514040,,
100052,100706,University of Alabama at Huntsville,-,-,Institution,301 Sparkman Dr; Huntsville; AL 35899,2568246120,Robert A. Altenkirch,2568246340,robert.altenkirch@uah.edu,
100061,100724,Alabama State University,-,-,Institution,915 S Jackson Street; Montgomery; AL 36104,3342294400,Joe A. Lee,3342294291,,3348346861
100089,100751,The University of Alabama,-,-,Institution,801 University Boulevard; Tuscaloosa; AL 35487-0100,2053486010,Stuart R. Bell,2053485103,stuart.bell@ua.edu,
100098,100760,Central Alabama Community College,-,-,Institution,1675 Cherokee Road; Alexander City; AL 35010,2562346346,Susan Burrow,2562154301- ext. 4255,sburrow@cacc.edu,2562340384
100098003,100760,Childersburg Campus,Central Alabama Community College,100098,Additional Location,34091 US Hwy. 280; Childersburg; AL 35044,,,,,
100098004,100760,Alexander City Campus,Central Alabama Community College,100098,Additional Location,1675 Cherokee Road PO Box 699; Alexander City; AL 35010,,,,,
100104,100812,Athens State University,-,-,Institution,300 N Beaty St; Athens; AL 35611,2562338100,Ronald R. Ingle,2562338201,ron.ingle@athens.edu,
100104002,100812,Northeast Alabama CC,Athens State University,100104,Additional Location,138 Lowell Barron Highway W; Rainsville; AL 35986,,,,,
100104003,100812,Northwest - Shoals Alabama CC,Athens State University,100104,Additional Location,800 George Wallace Road; Muscle Shoals; AL 35662,,,,,
100104004,100812,Redstone Arsenal,Athens State University,100104,Additional Location,Bldg. 3200; Little John Road Athens State Universi; Redstone Arsenal; AL 35898,,,,,
100104005,100812,Snead State CC,Athens State University,100104,Additional Location,220 North Walnut Street; Boaz; AL 35957,,,,,
100104006,100812,Wallace State Comm Coll - Hanceville,Athens State University,100104,Additional Location,801 Main Street; Hanceville; AL 35077,,,,,
100113,100830,Auburn University-Montgomery,-,-,Institution,7440 East Drive; Montgomery; AL 36117,3342443000,Carl A. Stockton,3342443920,stockton@aum.edu,
100122,100858,Auburn University Main Campus,-,-,Institution,107 Samford Hall; Auburn University; AL 36849,3348444000,Steven Leath,3348444650,president@auburn.edu,
100122002,100858,Mobile Campus (Pharmacy),Auburn University Main Campus,100122,Additional Location,USA Rsch Park 650 Clinic Drive; Rm 2100; Mobile; AL 36688-0002,,,,,
100140,100937,Birmingham Southern College,-,-,Institution,900 Arkadelphia Road; Birmingham; AL 35254,2052264600,Linda Flaherty-Goldsmith,2052264620,lflahert@bsc.edu,2052263098
100168,101028,Chattahoochee Valley Community College,-,-,Institution,2602 College Dr; Phenix City; AL 36869,3342914900,Jacquelin Screws,3342914981,jackie.screws@cv.edu,
100210,101143,Enterprise State Community College,-,-,Institution,600 Plaza Drive; Enterprise; AL 36330-1300,3343472623,Matthew Rodgers,3343472623- ext. 2234,mrodgers@escc.edu,3343936223
100210002,101143,AAC at Mobile,Enterprise State Community College,100210,Additional Location,1975 Ave C; Mobile; AL 36615-1403,,,,,
100210003,101143,AAC at Ozark,Enterprise State Community College,100210,Additional Location,3405 Hwy 231 S; Ozark; AL 36360,,,,,
100229,101161,James H. Faulkner State Community College,-,-,Institution,1900 US Hwy 31 S; Bay Minette; AL 36507-2698,2515802100,GARY BRANCH,2515802111,gbranch@faulknerstate.edu,2515802253
100229002,101161,Faulkner State Fairhope Campus,James H. Faulkner State Community College,100229,Additional Location,440 Fairhope Ave; Fairhope; AL 36532,,,,,
100229003,101161,Faulkner State Gulf Shores Campus,James H. Faulkner State Community College,100229,Additional Location,3301 Gulf Shores Pkwy; Gulf Shores; AL 36542,,,,,
100229004,101161,Faulkner State at Daphne High School,James H. Faulkner State Community College,100229,Additional Location,9300 Lawson Rd; Daphne; AL 36526,,,,,
100238,101189,Faulkner University,-,-,Institution,5345 Atlanta Hwy; Montgomery; AL 36109-3378,3342725820,Mike Williams,3343867103,mwilliams@faulkner.edu,3343867244
100238003,101189,FAULKNER UNIVERSITY-HUNTSVILLE,Faulkner University,100238,Additional Location,420 WYNN DR; HUNTSVILLE; AL 35805-1963,,,,,
100238005,101189,Birmingham,Faulkner University,100238,Additional Location,2200 Riverchase Center; Birmingham; AL 35244,,,,,
100238006,101189,Mobile,Faulkner University,100238,Additional Location,917 Western American Circle; Mobile; AL 36609,,,,,
100256,101240,Gadsden State Community College,-,-,Institution,1001 George Wallace Dr.; Gadsden; AL 35902-0227,2565498200,Martha Lavender,2565498222,mlavender@gadsdenstate.edu,
100256002,101240,Gadsden State Community College - Ayers Campus,Gadsden State Community College,100256,Additional Location,1801 Coleman Road; Anniston; AL 36207,,,,,
100274,101286,George C Wallace Community College,-,-,Institution,1141 Wallace Drive; Dothan; AL 36303-9234,3349833521,LINDA C YOUNG,3349833521- ext. 2480,lyoung@wallace.edu,
100274002,101286,Ft. Rucker Center,George C Wallace Community College,100274,Additional Location,Building 4502 Kingsman Street; Fort Rucker; AL 36362,,,,,
100274004,101286,Sparks Campus,George C Wallace Community College,100274,Additional Location,3235 South Eufaula Ave.; Eufaula; AL 36027,,,,,
100274005,101286,Clanton Ext,George C Wallace Community College,100274,Additional Location,2829 Fourth Avenue North; Clanton; AL 35045,,,,,
100283,101295,Wallace State Community College  - Hanceville,-,-,Institution,801 Main St. P. O. Box 2000; Hanceville; AL 35077-2000,2563528000,Vicki P. Karolewics,2563528130,vicki.karolewics@wallacestate.edu,
100292,101301,George Corley Wallace State Community College - Selma,-,-,Institution,3000 Earl Goodwin Parkway; Selma; AL 36703-2808,3348769227,Dr. James M. Mitchell,3348769295,jmitchell@wccs.edu,3348769300
100326,101435,Huntingdon College,-,-,Institution,1500 East Fairview Avenue; Montgomery; AL 36106-2148,3348334222,J. CAMERON WEST,3348334497,camwest@huntingdon.edu,3348334235
100344,101453,Heritage Christian University,-,-,Institution,3625 Helton Dr; PO Box HCU; Florence; AL 35630-9977,2567666610,DENNIS JONES,2567666610- ext. 223,djones@hcu.edu,2567600981
100353,101462,J.F. Drake State Community and Technical College,-,-,Institution,3421 Meridian St North; Huntsville; AL 35811,2565398161,Cynthia Anthony,2565513117- ext. 109,cynthia.anthony@drakestate.edu,2565513102
100362,101471,J F Ingram State Technical College,-,-,Institution,5375 Ingram Road; Deatsville; AL 36022,3342857870,J. DOUGLAS CHAMBERS,3342857870,dchambers@ingram.cc.al.us,
100362001,101471,J. F. Ingram State Technical College- Donaldson Correctional Facility,J F Ingram State Technical College,100362,Additional Location,100 Warrior Lane; 100 Warrior Lane; AL 35023,,,,,
100362002,101471,J. F. Ingram State Technical College- Draper Instructional Service Center,J F Ingram State Technical College,100362,Additional Location,2800 Alabama Highway 143; Elmore; AL 36025,,,,,
100362003,101471,J. F. Ingram State Technical College- Tutwiler Instructional Service Center,J F Ingram State Technical College,100362,Additional Location,8970 U.S. Highway 231 North; Wetumpka; AL 36092,,,,,
100362004,101471,J. F. Ingram State Technical College- Bibb Correctional Facility,J F Ingram State Technical College,100362,Additional Location,565 Bibb Lane; Brent; AL 35034,,,,,
100362005,101471,J.F. Ingram State Technical College- Easterling Correctional Facility,J F Ingram State Technical College,100362,Additional Location,200 Wallace Drive; Clio; AL 36017,,,,,
100362006,101471,J.F. Ingram State Technical College- Fountain Correctional Facility,J F Ingram State Technical College,100362,Additional Location,9677 Highway 21 North; Atmore; AL 36503,,,,,
100362007,101471,J.F. Ingram State Technical College- Limestone Correctional Facility,J F Ingram State Technical College,100362,Additional Location,28779 Nick Davis Road; Harvest; AL 35749,,,,,
100362008,101471,J.F. Ingram State Technical College- St. Clair Correctional Facility,J F Ingram State Technical College,100362,Additional Location,1000 St. Clair Road; Springville; AL 35146,,,,,
100362009,101471,J.F. Ingram State Technical College- Ventress Correctional Facility,J F Ingram State Technical College,100362,Additional Location,379 AL Highway 239 North; Clayton; AL 36016,,,,,
100371,101480,Jacksonville State University,-,-,Institution,700 Pelham Road North; Jacksonville; AL 36265,2567825781,John M. Beehler,2567825881,pres@jsu.edu,2567828146
100399,101505,Jefferson State Community College,-,-,Institution,2601 Carson Rd; Birmingham; AL 35215-3098,2058531200,Keith A. Brown,2058567765- ext. 7704,kbrown@jeffersonstate.edu,2058158499
100399003,101505,Richard M. Scrushy Campus,Jefferson State Community College,100399,Additional Location,4600 Valleydale Rd; Birmingham; AL 35242,,,,,
100405,101514,Calhoun Community College,-,-,Institution,6250 U S Highway 31 N; Tanner; AL 35671,2563062500,Joe Burke,2563062555,joe.burke@calhoun.edu,2563062877
100405002,101514,Decatur Fire and Rescue Center,Calhoun Community College,100405,Additional Location,4119 Old Hwy 31; SW; Decatur; AL 35603,,,,,
100423,101541,Judson College,-,-,Institution,302 Bibb St; Marion; AL 36756,3346835100,Scott W. Bullard,3346835102,sbullard@JUDSON.EDU,3346835147
100441,101587,University of West Alabama,-,-,Institution,205 North Washington Street; Livingston; AL 35470,2056523400,Ken Tucker,2056523527,ktucker@uwa.edu,2056523708
100450,101602,Lurleen B Wallace Community College,-,-,Institution,1000 Dannelly Blvd.; Andalusia; AL 36420-1418,3342226591,Herbert H.J. Riedel,3348812212,hriedel@lbwcc.edu,3348812300
100450003,101602,Lurleen B Wallace Community College - Greenville Campus,Lurleen B Wallace Community College,100450,Additional Location,750 Greenville Bypass; Greenville; AL 36037,,,,,
100450004,101602,Lurleen B Wallace Community College - Springdale,Lurleen B Wallace Community College,100450,Additional Location,521 E. Three Notch Street; Andalusia; AL 36420,,,,,
100450005,101602,MacArthur Campus,Lurleen B Wallace Community College,100450,Additional Location,1708 Main; Opp; AL 36467,,,,,
100469,101648,Marion Military Institute,-,-,Institution,1101 Washington St; Marion; AL 36756,3346832303,David J. Mollahan,3346832302,dmollahan@marionmilitary.edu,3346832319
100487,101675,Miles College,-,-,Institution,5500 Myron Massey Blvd; Fairfield; AL 35064,2059291000,George T. French,2059291428,gtfrench@aol.com,2059291453
100496,101693,University of Mobile,-,-,Institution,5735 College Parkway Drive; Mobile; AL 36663-0220,2516755990,Timothy Lee Smith,2514422200,timsmith@umobile.edu,2514422523
100502,101709,University of Montevallo,-,-,Institution,75 College Drive; Montevallo; AL 35115,2056656155,John W. Stewart,2056656001,presidentsoffice@montevallo.edu,
100511,101736,Northwest-Shoals Community College - Muscle Shoals,-,-,Institution,800 George Wallace Blvd; Muscle Shoals; AL 35661,2563315200,Glenda Colagross,2563315821,colg@nwscc.edu,2563315222
100511002,101736,Phil Campbell Campus,Northwest-Shoals Community College - Muscle Shoals,100511,Additional Location,2080 College Road; Phil Campbell; AL 35581,,,,,
100511003,101736,Shoals Campus,Northwest-Shoals Community College - Muscle Shoals,100511,Additional Location,800 George Wallace Blvd.; Muscle Shoals; AL 35661,,,,,
100520,101879,University of North Alabama,-,-,Institution,One Harrison Plaza; Florence; AL 35632-0001,2567654100,Kenneth D. Kitts,2567654211,kkitts@una.edu,
100539,101897,Northeast Alabama Community College,-,-,Institution,138 Alabama Highway 35; Rainsville; AL 35986,2056384418- ext. 222,J. DAVID CAMPBELL,2056384418- ext. 222,campbelld@nacc.edu,
100557,101912,Oakwood University,-,-,Institution,7000 Adventist Blvd N.W.; Huntsville; AL 35896,2567267000,Leslie N. Pollard,2567267334,presidentsoffice@oakwood.edu,
