PersonId,Gender,YearsOfExperience,AcceptingNewStudent,City,State,ZipCode,RaceEthnicity
1001,male,18,1,Hardy,VA,24101,Black or African American
1002,male,29,0,Doylestown,WI,53928,Hispanic
1003,male,13,1,Loranger,LA,70446,white
1004,male,29,0,Evansville,IN,47711,Pacific Islander
1005,male,30,1,North miami beac,FL,33162,white
1006,female,9,0,Marengo,OH,43334,white
1007,female,29,0,Bemiss,GA,31602,Hispanic
1008,female,1,1,Asheville,NC,28803,white
1009,female,29,0,Summerland key,FL,33042,white
1010,female,21,1,Brownsville,IN,47325,white
1011,female,25,1,Madisonville,LA,70447,white
1012,female,20,0,Mound city,SD,57646,white
1013,female,18,1,Junction city,KS,66441,white
1014,female,3,0,Crown city,OH,45623,white
1015,female,30,0,Mandeville,LA,70448,white
1016,female,1,1,Wadestown,WV,26589,white
1017,female,6,0,Evansville,IN,47712,Hispanic
1018,female,28,0,Sleetmute,AK,99668,white
1019,female,21,0,Lyndon,KY,40242,white
1020,female,25,1,Maurepas,LA,70449,white
1021,female,1,1,Eden valley,MN,55329,white
1022,female,20,1,Mount hermon,LA,70450,white
1023,female,18,1,Shunk,PA,17768,white
1024,female,28,1,Afton,TN,37616,Black or African American
1025,female,19,1,Magnolia,DE,19962,Black or African American
1026,female,16,0,Farmville,NC,27828,Hispanic
1027,female,16,1,Stonega,VA,24285,white
1028,female,28,0,Elk river,MN,55330,white
1029,female,4,1,Eleanor,WV,25070,white
1030,female,26,0,Unionville cente,OH,43077,white
1031,female,12,0,Barton,OH,43905,white
1032,female,19,1,Excelsior,MN,55331,Black or African American
1033,male,3,0,Misenheimer,NC,28109,white
1034,female,10,1,Fairfax,MN,55332,Black or African American
1035,male,4,1,Port orange,FL,32127,Black or African American
1036,female,4,0,Richmond,VA,23223,white
1037,female,9,1,York,AL,36925,white
1038,female,6,0,Linn,WV,26384,white
1039,female,5,0,Lapel,IN,46051,Black or African American
1040,female,5,1,Pearson,GA,31642,white
1041,female,13,0,Natalbany,LA,70451,white
1042,female,17,0,North wales,PA,19454,Hispanic
1043,female,30,0,Weber city,VA,24290,white
1044,female,20,1,Farnham,VA,22460,white
1045,female,15,1,Pearl river,LA,70452,white
1046,female,15,1,Fontana dam,NC,28733,white
1047,female,17,1,Middletown,KY,40243,white
1048,female,11,1,Ashland,OH,44805,Black or African American
1049,female,3,1,South canaan,PA,18459,Black or African American
1050,female,12,0,Pawtucket,RI,2860,Pacific Islander
1051,female,15,1,Knoxville,IA,50138,white
1052,female,26,0,Pine grove,LA,70453,white
1053,female,10,1,Middleburg,OH,43336,white
1054,male,30,0,Winterville,GA,30683,white
1055,female,5,0,Zionsville,IN,46077,white
1056,female,24,1,Deerfield,MI,49238,white
1057,male,26,0,Whitesburg,GA,30185,white
1058,female,16,1,New orleans,LA,70116,Hispanic
1059,female,17,1,Keedysville,MD,21756,unidentified
1060,female,21,0,Ponchatoula,LA,70454,white
1061,female,16,1,Robert,LA,70455,white
1062,female,16,0,Roseland,LA,70456,white
1063,female,22,0,Borden,IN,47106,white
1064,female,25,1,Franklin,MN,55333,Black or African American
1065,female,16,0,Fountain,NC,27829,Black or African American
1066,female,7,0,Cedar river,MI,49813,white
1067,female,5,0,Garner,IA,50438,white
1068,female,14,1,Tolland,MA,1034,white
1069,female,11,1,South carrollton,KY,42374,white
1070,female,1,1,Princeton,MI,49841,Black or African American
1071,female,26,1,Slidell,LA,70458,white
1072,female,17,1,Milford,DE,19963,white
1073,female,17,1,Spillville,IA,52168,white
1074,male,11,0,Atlanta,GA,30322,Black or African American
1075,female,12,1,Pollock,SD,57648,white
1076,female,18,0,Centerville gwin,GA,30058,Black or African American
1077,female,4,1,Slidell,LA,70460,white
1078,female,25,0,Norfolk,VA,23502,white
1079,female,30,0,Holcomb,MS,38940,white
1080,female,28,1,Slidell,LA,70461,white
1081,female,27,0,Berkeley,CA,94702,white
1082,female,10,1,Southeast,MI,48519,white
1083,female,19,1,Evansville,IN,47713,white
1084,female,14,0,Cleveland height,OH,44118,white
1085,female,8,1,Springfield,LA,70462,white
1086,female,9,0,Vandalia,OH,45377,Hispanic
1087,female,18,0,Louisville,KY,40245,white
1088,female,13,1,Gaylord,MN,55334,Black or African American
1089,female,13,0,Readyville,TN,37149,Hispanic
1090,female,27,0,Sun,LA,70463,white
1091,female,17,0,Zoarville,OH,44656,Hispanic
1092,female,17,1,Cincinnati,OH,45232,white
1093,female,5,1,Talisheek,LA,70464,white
1094,female,8,1,Tangipahoa,LA,70465,white
1095,female,11,1,Wadena,IA,52169,white
1096,male,12,1,Surfside beach,SC,29575,white
1097,female,25,1,Waverly,PA,18471,Hispanic
1098,female,30,0,Ogden,IA,50212,white
1099,female,7,1,Gary,WV,24836,white
1100,female,11,0,Gibson,IA,50104,Black or African American
