UNITID,CIPCODE,CREDLEV
100654,100,3
100654,109,3
100654,110,3
100654,110,5
100654,110,6
100654,111,3
100654,199,3
100654,199,5
100654,199,6
100654,305,3
100654,403,3
100654,403,5
100654,901,5
100654,1002,3
100654,1101,3
100654,1101,5
100654,1301,5
100654,1301,8
100654,1304,5
100654,1310,3
100654,1310,5
100654,1312,3
100654,1312,5
100654,1313,3
100654,1313,5
100654,1313,6
100654,1408,3
100654,1410,3
100654,1419,3
100654,1499,5
100654,1503,3
100654,1508,3
100654,1510,3
100654,1901,3
100654,1901,5
100654,2301,3
100654,2401,3
100654,2601,3
100654,2601,5
100654,2701,3
100654,3105,3
100654,3105,5
100654,4005,3
100654,4008,3
100654,4008,5
100654,4201,3
100654,4228,5
100654,4301,3
100654,4407,3
100654,4407,5
100654,4510,3
100654,4511,3
100654,5007,3
100654,5009,3
100654,5102,5
100654,5202,3
100654,5202,5
100654,5203,3
100654,5207,3
100654,5208,3
100654,5214,3
100663,502,3
100663,901,3
100663,901,5
100663,1101,3
100663,1101,5
100663,1101,6
100663,1104,5
100663,1110,5
100663,1110,8
100663,1301,8
100663,1303,5
100663,1304,5
100663,1304,6
100663,1304,7
100663,1304,8
100663,1306,5
100663,1310,5
100663,1311,5
100663,1311,8
100663,1312,3
100663,1312,5
100663,1312,6
100663,1313,3
100663,1313,5
100663,1313,8
100663,1314,5
100663,1314,8
100663,1401,5
100663,1405,3
100663,1405,5
100663,1405,6
100663,1408,3
100663,1408,5
100663,1408,6
100663,1409,6
100663,1410,3
100663,1410,5
100663,1418,3
100663,1418,5
100663,1418,6
100663,1419,3
100663,1419,5
100663,1499,6
100663,1601,3
100663,1609,1
100663,1609,3
100663,2301,3
100663,2301,5
100663,2401,3
100663,2601,3
100663,2601,5
100663,2601,6
100663,2601,8
100663,2602,6
100663,2604,6
100663,2605,6
100663,2608,3
100663,2608,6
100663,2609,5
100663,2609,6
100663,2610,6
100663,2611,5
100663,2611,6
100663,2612,5
100663,2612,8
100663,2613,6
100663,2614,6
100663,2615,3
100663,2615,6
100663,2699,6
100663,2701,3
100663,2701,5
100663,2703,6
100663,3006,5
100663,3006,8
100663,3019,5
100663,3019,6
100663,3099,5
100663,3099,8
100663,3105,6
100663,3801,3
100663,4005,3
100663,4005,5
100663,4005,6
100663,4008,3
100663,4008,5
100663,4008,6
100663,4100,1
100663,4201,3
100663,4201,5
100663,4201,6
100663,4301,3
100663,4301,5
100663,4304,5
100663,4404,5
100663,4404,8
100663,4407,3
100663,4502,3
100663,4502,5
100663,4510,3
100663,4511,3
100663,4511,5
100663,4511,6
100663,4599,3
100663,5005,3
100663,5007,3
100663,5007,5
100663,5009,3
100663,5100,3
100663,5100,5
100663,5104,5
100663,5104,7
100663,5104,8
100663,5105,5
100663,5105,8
100663,5106,1
100663,5107,3
100663,5107,5
100663,5107,6
100663,5107,8
100663,5109,3
100663,5109,5
100663,5110,3
100663,5110,5
100663,5112,7
100663,5115,5
100663,5117,7
100663,5122,3
100663,5122,5
100663,5122,6
100663,5122,7
100663,5122,8
100663,5123,5
100663,5123,6
100663,5123,7
100663,5123,8
100663,5131,5
100663,5138,3
100663,5138,5
100663,5138,6
100663,5138,7
100663,5202,1
100663,5202,3
100663,5202,5
100663,5202,8
100663,5203,1
100663,5203,3
100663,5203,5
100663,5206,3
100663,5208,3
100663,5210,3
100663,5212,3
100663,5212,5
100663,5214,1
100663,5214,3
100663,5218,1
100663,5218,3
100663,5401,3
100663,5401,5
100690,1907,2
