createAt,PersonID,commentID
2000-01-17 19:44:27,35880,49
2000-01-27 20:15:36,46179,45
2000-01-28 21:55:40,7361,120
2000-02-13 19:52:44,55260,167
2000-02-15 09:38:10,3368,26
2000-02-20 10:31:22,3397,80
2000-03-15 12:46:22,59195,292
2000-03-19 08:08:41,41325,36
2000-03-27 11:06:50,13063,287
2000-03-31 14:17:00,40589,113
2000-04-04 15:25:20,17668,51
2000-04-14 07:38:43,21771,306
2000-04-19 20:51:17,47803,42
2000-04-25 13:28:48,37490,345
2000-04-29 17:55:49,51980,111
2000-04-30 20:19:37,3897,302
2000-05-03 11:52:35,17321,166
2000-05-06 10:48:36,57128,473
2000-05-12 13:13:05,38172,561
2000-05-13 03:31:57,46879,264
2000-05-13 19:50:44,5760,90
2000-05-21 02:24:24,8302,212
2000-05-26 11:21:49,51137,168
2000-05-28 13:53:46,36784,403
2000-06-04 14:21:29,23264,702
2000-06-04 17:32:07,19527,357
2000-06-08 13:00:26,7843,392
2000-06-09 07:53:52,14636,526
2000-06-15 14:37:39,49461,494
2000-06-16 23:33:51,43718,613
2000-06-17 00:11:17,35838,544
2000-06-19 10:51:04,22140,342
2000-06-23 07:12:24,27861,226
2000-06-23 11:50:49,10746,665
2000-06-24 04:34:04,5935,281
2000-06-25 01:55:54,17521,704
2000-06-26 09:27:41,42103,810
2000-06-29 23:29:31,14887,66
2000-07-07 23:07:32,43215,453
2000-07-09 09:08:00,52341,122
2000-07-11 02:10:21,42944,923
2000-07-14 22:27:51,4708,131
2000-07-16 05:04:43,54045,492
2000-07-20 15:57:20,28478,646
2000-07-22 18:50:54,45310,9
2000-07-25 19:46:42,45862,133
2000-07-25 20:42:10,3231,696
2000-07-26 05:53:55,59017,720
2000-07-29 09:35:51,31983,828
2000-07-29 10:10:04,25715,122
2000-07-29 20:10:44,23630,426
2000-08-03 04:49:30,50732,651
2000-08-03 05:08:08,16126,815
2000-08-03 11:25:57,27495,901
2000-08-04 15:32:29,17184,1040
2000-08-05 06:21:22,15270,657
2000-08-05 20:14:30,9873,1000
2000-08-06 01:54:59,43559,177
2000-08-06 13:14:56,38429,451
2000-08-08 02:43:05,21792,325
2000-08-08 03:42:16,27956,706
2000-08-14 09:30:30,53636,509
2000-08-16 03:12:45,11602,867
2000-08-16 07:30:44,56515,593
2000-08-17 22:23:05,35066,310
2000-08-20 02:18:21,2228,1102
2000-08-21 04:29:38,3617,703
2000-08-23 05:27:17,19442,510
2000-08-23 06:10:26,21407,232
2000-08-23 17:36:33,35949,983
2000-08-25 15:47:13,11813,1068
2000-08-27 17:10:13,20989,381
2000-08-29 23:28:19,44302,992
2000-08-30 17:21:58,47033,51
2000-09-04 18:45:25,6220,583
2000-09-05 10:58:48,8115,305
2000-09-07 11:29:46,51882,848
2000-09-08 03:11:55,21513,902
2000-09-08 07:53:13,7061,271
2000-09-10 15:24:16,27357,618
2000-09-11 11:47:33,18744,262
2000-09-12 02:25:17,39646,649
2000-09-12 14:19:56,9564,806
2000-09-14 19:37:53,23070,458
2000-09-22 15:25:36,9121,1212
2000-09-22 17:41:58,27882,331
2000-09-27 22:53:34,1957,1189
2000-09-29 06:44:36,9992,1260
2000-09-30 20:01:18,56147,346
2000-10-01 12:37:06,35373,826
2000-10-02 22:11:38,9903,137
2000-10-03 10:39:40,56403,1067
2000-10-07 08:34:28,21224,527
2000-10-09 08:13:56,46790,376
2000-10-12 07:32:24,1421,861
2000-10-13 12:21:32,54158,216
2000-10-15 12:21:47,22166,565
2000-10-18 08:22:18,42823,371
2000-10-22 04:10:33,47647,457
2000-10-24 02:09:38,1890,394
2000-11-03 05:00:11,49380,353
2000-11-05 02:23:38,36033,1074
2000-11-07 00:21:29,40643,1336
2000-11-07 08:29:34,43510,552
2000-11-08 07:43:44,12064,755
2000-11-08 16:14:48,6521,1152
2000-11-09 10:19:49,40590,1309
2000-11-10 11:57:50,32886,750
2000-11-10 19:49:38,42786,1107
2000-11-12 14:03:13,25190,198
2000-11-14 09:36:50,43800,1086
2000-11-15 00:49:19,9594,472
2000-11-17 03:55:00,29885,87
2000-11-19 13:37:09,10080,485
2000-11-19 14:00:29,42242,341
2000-11-22 06:20:22,4316,1496
2000-11-23 19:51:52,23932,1063
2000-11-26 08:35:04,16853,109
2000-11-27 04:51:21,28027,24
2000-11-27 20:50:15,52634,33
2000-11-28 03:59:08,43751,1064
2000-11-28 21:24:50,29755,1041
2000-11-30 08:07:45,5017,604
2000-12-02 09:52:22,49050,1025
2000-12-06 05:28:29,23652,343
2000-12-07 11:46:39,42988,142
2000-12-07 21:12:55,39291,707
2000-12-08 09:24:58,49318,253
2000-12-15 21:53:29,49371,342
2000-12-18 04:42:41,58968,1087
2000-12-18 21:33:20,41278,1437
2000-12-19 22:58:50,57699,836
2000-12-19 23:02:21,12830,923
2000-12-22 16:29:19,41224,770
2000-12-23 08:31:12,8594,1537
2000-12-27 02:59:15,13867,24
2000-12-28 18:50:32,40896,863
2001-01-02 00:44:07,13721,1509
2001-01-03 19:20:53,1512,1458
2001-01-04 19:36:29,23140,1490
2001-01-04 21:30:22,23813,53
2001-01-06 21:07:56,12980,337
2001-01-07 16:10:12,4802,588
2001-01-12 23:21:46,19955,906
2001-01-13 07:14:34,42271,362
2001-01-13 10:06:39,9141,358
2001-01-14 18:22:50,27079,387
2001-01-15 18:02:48,17936,166
2001-01-15 20:50:25,44078,1164
2001-01-18 06:42:19,46147,1169
2001-01-19 20:41:54,28911,1689
2001-01-20 11:13:50,10656,347
2001-01-20 18:19:11,35506,1457
2001-01-22 23:05:07,46899,879
2001-01-23 21:48:40,41658,936
2001-01-25 14:45:54,37132,772
2001-01-25 19:41:18,34732,443
2001-01-29 14:42:12,21541,1629
2001-01-30 12:20:57,8601,227
2001-02-01 17:01:35,1102,1037
2001-02-02 01:16:14,18436,1790
2001-02-02 12:47:18,50383,1634
2001-02-03 20:22:23,4402,1693
2001-02-04 04:21:57,13989,1593
2001-02-04 16:29:56,2155,1161
2001-02-09 04:57:37,17275,306
2001-02-09 09:35:19,46610,536
2001-02-09 21:08:02,51976,1791
2001-02-18 11:46:40,11535,491
2001-02-20 03:11:48,38232,1634
2001-02-21 11:04:38,56703,1801
2001-02-22 07:33:52,47375,1802
2001-02-23 11:51:34,35513,628
2001-02-23 18:06:13,29600,1938
2001-02-25 03:14:15,16277,103
2001-02-25 06:03:32,6453,917
2001-02-26 16:33:02,5828,888
2001-02-27 04:35:38,43516,843
2001-02-27 09:00:24,34629,1646
2001-03-01 19:41:38,23975,1333
2001-03-03 12:05:09,44987,959
2001-03-04 02:28:12,56491,1754
2001-03-04 21:11:42,2888,312
2001-03-05 01:37:18,53620,339
2001-03-07 05:30:55,58220,1416
2001-03-07 10:14:29,55107,594
2001-03-08 01:03:15,16610,807
2001-03-08 21:10:32,24738,125
2001-03-11 08:42:26,45588,1196
2001-03-11 12:08:24,51202,1029
2001-03-12 04:40:58,36099,1283
2001-03-13 04:24:54,46211,678
2001-03-16 06:06:13,58378,442
2001-03-19 13:29:57,6311,740
2001-03-24 12:16:15,7379,641
2001-03-28 09:57:39,9540,1706
2001-03-28 19:25:30,13834,544
2001-04-03 03:26:52,19084,1623
2001-04-06 10:42:27,46967,404
2001-04-07 20:35:37,16577,1555
2001-04-10 00:51:32,49130,533
2001-04-14 07:51:35,41787,836
2001-04-14 10:47:07,38616,1074
2001-04-15 01:01:38,12424,1877
2001-04-16 15:26:26,7842,550
2001-04-18 04:55:01,48947,618
