RatingValue,PersonId,UnitId
0.8,39057,212276
0.9,29791,113573
1.1,51415,461883
1.1,42437,236230
4.9,29068,444130
0.2,15488,462053
4.8,18262,172680
3.2,50109,393861
4.1,36472,460181
4.1,21125,443030
0.9,43578,436836
4.4,28225,218025
2.9,19115,182980
0.2,54567,461704
3.0,22875,420398
4.9,35502,455965
3.4,42677,165015
0.1,11305,108870
1.4,7836,490674
3.2,52479,45037703
1.2,23344,164580
0.0,10545,193478
3.6,51891,136516
2.9,4666,451927
3.5,6871,447999
4.3,12239,122296
2.9,20358,222886
4.8,5729,167288
3.8,53297,442213
2.2,48432,195234
2.5,18477,494807
0.4,37258,139861
2.4,49586,152798
0.3,27788,140243
3.6,39957,460464
0.3,4116,190424
2.7,6713,486734
2.0,39976,486284
3.7,31727,135081
3.5,9927,204431
1.5,26208,196194
1.5,3615,491756
0.8,759,17706525
3.4,43928,41918301
2.9,12429,22797902
0.8,35825,488299
4.6,39845,247649
2.8,35207,481225
2.8,32733,218159
2.7,58500,114813
4.5,48293,158662
2.0,50657,117867
1.8,56814,115409
2.0,47624,431284
5.0,10592,210234
4.4,42063,119951
2.8,47071,369783
0.2,21258,141334
1.8,26811,375966
4.3,6012,163976
0.1,14632,184968
4.8,16221,45316303
4.1,21750,201140
1.2,20184,228468
2.0,7552,165529
5.0,47250,151777
4.8,45133,43018402
3.2,12613,432384
1.9,1480,11046802
2.3,24231,363147
0.5,29944,151111
1.8,30690,210438
2.4,4275,109040
4.4,36420,198817
3.6,47470,17623901
2.1,58967,483799
4.0,20819,198613
0.1,19288,156107
0.9,32279,222567
4.1,48938,444440
3.5,29633,486202
3.4,52842,198491
2.0,51028,469957
1.7,40910,101301
4.2,15326,447768
0.5,22436,144184
4.5,1841,49146401
0.3,34109,482486
2.6,48285,153861
0.2,11447,173452
0.3,25572,16061204
0.6,56902,175616
1.9,1192,458858
2.3,9089,242723
0.6,7431,418302
2.2,25856,236948
3.5,29109,195809
4.4,22309,17355903
3.3,10652,486460
