UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,NPCURL,NUMBRANCH,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG_ALL,UGDS,PPTUG_EF,CURROPER,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,PFTFAC,MN_EARN_WNE_P6,MD_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MD_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,MD_EARN_WNE_P10
100654,100200,1002,Alabama A & M University,Normal,AL,35762,Southern Association of Colleges and Schools Commission on Colleges,www.aamu.edu/,www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html,1,1,34.783368,-86.568502,0.8965,0.8965,430,520,410,500,370,457,475,455,414,15,20,14,20,15,18,\N,\N,18,17,17,\N,959,5090,0.0839,1,10024,18634,\N,0.996,28400,28704,29600,30600,34422,33800,35500,36339
100663,105200,1052,University of Alabama at Birmingham,Birmingham,AL,35294-0110,Southern Association of Colleges and Schools Commission on Colleges,https://www.uab.edu/,https://tcc.ruffalonl.com/University of Alabama at Birmingham/Freshman-Students,1,1,33.505697,-86.799345,0.806,0.806,560,668,530,660,\N,\N,614,595,\N,22,30,22,33,20,27,\N,\N,26,28,24,\N,1245,13549,0.236,1,8568,20400,\N,0.7619,39400,39271,40000,44100,44053,44500,48400,46990
100690,2503400,25034,Amridge University,Montgomery,AL,36117-3553,Southern Association of Colleges and Schools Commission on Colleges,www.amridgeuniversity.edu/,www2.amridgeuniversity.edu:9091/,1,2,32.362609,-86.17401,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,298,0.4228,1,6950,6950,\N,1,35400,32939,38700,40800,36302,42400,47600,37895
100706,105500,1055,University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,www.uah.edu/,finaid.uah.edu/,1,1,34.724557,-86.640449,0.7711,0.7711,590,700,580,730,\N,\N,645,655,\N,24,31,24,33,23,29,\N,\N,28,29,26,\N,1300,7825,0.1415,1,11338,23734,\N,0.6702,40300,47533,43400,45900,48947,50200,52000,54361
100724,100500,1005,Alabama State University,Montgomery,AL,36104-0271,Southern Association of Colleges and Schools Commission on Colleges,www.alasu.edu/,www.alasu.edu/cost-aid/tuition-costs/net-price-calculator,1,1,32.364317,-86.295677,0.9888,0.9888,438,531,406,518,\N,\N,485,462,\N,14,20,14,20,14,20,\N,\N,17,17,17,\N,938,3603,0.0871,1,11068,19396,\N,0.6797,24400,25949,25200,27500,30193,29400,30600,32084
100751,105100,1051,The University of Alabama,Tuscaloosa,AL,35487-0100,Southern Association of Colleges and Schools Commission on Colleges,www.ua.edu/,financialaid.ua.edu/net-price-calculator/,1,1,33.211875,-87.545978,0.8039,0.8039,540,660,530,670,480,600,600,600,540,23,31,23,33,21,29,7,8,27,28,25,8,1262,30610,0.0943,1,11620,31090,\N,0.7707,42400,44485,41700,45600,47786,47200,51600,52751
100760,100700,1007,Central Alabama Community College,Alexander City,AL,35010,Southern Association of Colleges and Schools Commission on Colleges,www.cacc.edu/,https://www.cacc.edu/net-price-calculator/,1,1,32.92478,-85.945266,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,994,0.4527,1,4930,8860,\N,0.4057,25900,25657,26600,29300,29728,29400,32400,32503
100812,100800,1008,Athens State University,Athens,AL,35611,Southern Association of Colleges and Schools Commission on Colleges,www.athens.edu/,www.athens.edu/financial-aid/net-price-calculator/,1,1,34.806793,-86.964698,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2629,0.5428,1,\N,\N,\N,0.5,36200,38536,37500,40000,41117,42100,42400,42233
100830,831000,8310,Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,www.aum.edu/,www.aum.edu/current-students/financial-information/net-price-calculator,1,1,32.36736,-86.177544,0.9555,0.9555,480,575,430,515,\N,\N,528,473,\N,18,23,17,24,16,22,\N,\N,21,21,19,\N,1061,4301,0.2158,1,8860,18820,\N,0.7087,32100,33326,34500,37000,37310,35500,38000,41679
100858,100900,1009,Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,www.auburn.edu/,https://www.auburn.edu/admissions/costcalc/freshman.html,1,1,32.599378,-85.488258,0.8507,0.8507,590,650,570,670,520,620,620,620,570,25,31,24,33,23,29,7,8,28,29,26,8,1302,24368,0.0804,1,11796,31956,\N,0.8654,43100,49695,44100,50800,53699,49700,56300,56933
100937,101200,1012,Birmingham-Southern College,Birmingham,AL,35254,Southern Association of Colleges and Schools Commission on Colleges,www.bsc.edu/,www.bsc.edu/fp/np-calculator.cfm,1,2,33.513774,-86.850552,0.6045,0.6045,520,610,500,580,\N,\N,565,540,\N,22,28,22,30,20,27,\N,\N,25,26,24,\N,1202,1129,0.0027,1,18900,18900,\N,0.777,36700,42523,35600,43500,48459,44700,53100,50775
101028,1218200,12182,Chattahoochee Valley Community College,Phenix City,AL,36869,Southern Association of Colleges and Schools Commission on Colleges,www.cv.edu/,external.cv.edu/npc/index.html,1,1,32.42391,-85.031485,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1183,0.5013,1,4920,8910,\N,0.43,26000,26888,26400,28200,29191,30200,31300,31254
101116,1303906,13039,South University-Montgomery,Montgomery,AL,36116,Southern Association of Colleges and Schools Commission on Colleges,www.southuniversity.edu/,www.southuniversity.edu/montgomery/net-price-calculator,9,3,32.342684,-86.216488,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,289,0.3183,1,17014,17014,\N,0.1408,32500,26001,33600,41000,29995,34900,40200,36710
101143,101500,1015,Enterprise State Community College,Enterprise,AL,36330-1300,Southern Association of Colleges and Schools Commission on Colleges,www.escc.edu/,https://www.escc.edu/netprice/npcalc.htm,1,1,31.297496,-85.836956,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1304,0.3413,1,4960,8950,\N,0.4779,33700,32481,32200,40900,34679,29000,42700,37260
101161,106000,1060,Coastal Alabama Community College,Bay Minette,AL,36507-2698,Southern Association of Colleges and Schools Commission on Colleges,www.coastalalabama.edu/,www.coastalalabama.edu/about/consumer_information/net_price_calculator/,1,1,30.851343,-87.778193,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4680,0.4143,1,4860,8850,\N,0.3704,26600,26501,28500,31100,29783,31300,33900,32139
101189,100300,1003,Faulkner University,Montgomery,AL,36109-3390,Southern Association of Colleges and Schools Commission on Colleges,www.faulkner.edu/,www.faulkner.edu/net-price-calculator/,1,2,32.384181,-86.21641,0.7576,0.7576,515,590,505,585,430,510,553,545,470,18,23,17,24,16,22,\N,\N,21,21,19,\N,1068,1834,0.2595,1,22990,22990,\N,0.539,33400,32902,38700,37000,35681,42500,40700,39437
101240,101700,1017,Gadsden State Community College,Gadsden,AL,35903,Southern Association of Colleges and Schools Commission on Colleges,www.gadsdenstate.edu/,www.gadsdenstate.edu/admissions-aid/net-price-calculator.cms,1,1,33.994001,-85.991438,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3496,0.4545,1,3936,7128,\N,0.5513,24300,24906,25700,27200,28189,29000,30200,28950
101277,4187200,41872,New Beginning College of Cosmetology,Albertville,AL,35951,National Accrediting Commission of Career Arts and Sciences,www.nbccosmetology.com/,nbccosmetology.com/wp-content/themes/nbc/nbc_zonemap/,1,3,34.27871,-86.196931,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,86,0,1,\N,\N,11040,\N,\N,16224,\N,\N,\N,\N,\N,\N
101286,101800,1018,George C Wallace Community College-Dothan,Dothan,AL,36303-9234,Southern Association of Colleges and Schools Commission on Colleges,www.wallace.edu/,www.wallace.edu/npcalc/,1,1,31.315274,-85.465836,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2991,0.5965,1,4800,8790,\N,0.5882,24900,24807,26700,28500,26752,30700,29800,29417
101295,787100,7871,George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,Southern Association of Colleges and Schools Commission on Colleges,www.wallacestate.edu/,www.wallacestate.edu/Financial-Aid/Net-Price-Calculator,1,1,34.072439,-86.781935,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4211,0.4681,1,4860,8850,\N,0.3968,29200,30399,29300,33000,32558,30100,34800,35632
101301,569900,5699,George C Wallace State Community College-Selma,Selma,AL,36702-2808,Southern Association of Colleges and Schools Commission on Colleges,https://www.wccs.edu/,https://www.wccs.edu/financial-aid/netprice-calculator,1,1,32.445917,-87.013294,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,916,0.5087,1,4560,8550,\N,0.5596,23000,23715,24400,26000,26884,27300,27300,27770
101365,962107,9621,Herzing University-Birmingham,Birmingham,AL,35209,Higher Learning Commission,https://www.herzing.edu/,https://www.herzing.edu/tuition-financial-aid/net-price-calculator,9,2,33.468466,-86.832465,0.9153,0.9201,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,612,0.5539,1,14200,14200,\N,0.5556,30100,30259,37800,35100,30592,41700,41600,33093
101435,101900,1019,Huntingdon College,Montgomery,AL,36106-2148,Southern Association of Colleges and Schools Commission on Colleges,www.huntingdon.edu/,hawk.huntingdon.edu/oiac/netpricecalculator/index.html,1,2,32.351034,-86.284366,0.5439,0.5439,503,590,500,568,\N,\N,547,534,\N,19,24,19,25,17,24,\N,\N,22,22,21,\N,1101,917,0.1407,1,27900,27900,\N,0.7595,34600,37025,36400,39900,43245,37700,43600,45389
